0.1	1	0	2	100	5	4	1,2,3,4,6,9,10,11,12,13,14,	5,
0.1	1	1	2	100	3	3	2,3,4,5,6,7,8,9,10,11,12,13,14,	1,
0.1	1	2	2	100	9	4	2,3,4,5,6,9,13,	1,7,8,10,11,12,14,
0.1	1	3	2	100	13	6	4,6,9,	1,2,3,5,7,8,10,11,12,13,14,
0.1	1	4	2	100	13	5	3,6,9,	1,2,4,5,7,8,10,11,12,13,14,
0.1	1	5	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	2	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	
0.1	2	1	2	100	13	6	6,9,13,	1,2,3,4,5,7,8,10,11,12,14,
0.1	2	2	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.1	2	3	2	100	11	5	2,3,6,9,13,	1,4,5,7,8,10,11,12,14,
0.1	2	4	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.1	2	5	2	100	14	6	6,9,	1,2,3,5,7,8,10,11,12,13,14,
0.1	3	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	
0.1	3	1	2	100	12	6	6,9,12,13,	1,2,3,4,5,7,8,10,11,14,
0.1	3	2	2	100	13	5	3,6,9,	1,2,4,5,7,8,10,11,12,13,14,
0.1	3	3	2	100	12	5	3,6,9,12,	1,2,4,5,7,8,10,11,13,14,
0.1	3	4	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	3	5	2	100	
