0.1	1	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	0,
0.1	1	1	2	100	5	3	2,3,4,5,6,7,9,10,12,13,14,	0,1,8,11,
0.1	1	2	2	100	12	5	3,4,6,9,	0,1,2,5,7,8,10,11,12,13,14,
0.1	1	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	1	4	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	1	5	2	100	13	5	1,6,9,	2,3,4,5,7,8,10,11,12,13,14,
0.1	2	0	2	100	5	4	1,2,3,4,6,9,10,11,12,13,14,	5,8,
0.1	2	1	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	2	2	2	100	14	6	6,9,	0,1,2,3,4,5,7,8,10,11,12,13,14,
0.1	2	3	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.1	2	4	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	2	5	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	3	0	2	100	5	4	1,2,3,4,6,9,10,11,12,13,14,	5,7,
0.1	3	1	2	100	13	6	6,9,13,	1,2,3,4,5,7,8,10,11,12,14,
0.1	3	2	2	100	14	6	6,9,	0,1,2,3,4,5,7,8,10,11,12,13,14,
0.1	3	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	3	4	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.1	3	5	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	1	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	
0.2	1	1	2	100	7	3	2,3,5,6,7,9,12,13,14,	1,4,8,10,11,
0.2	1	2	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	1	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	1	4	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	1	5	2	100	13	6	4,6,9,	1,2,3,5,7,8,10,11,12,13,14,
0.2	2	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	0,
0.2	2	1	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	2	2	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	2	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	2	4	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.2	2	5	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	3	0	2	100	5	4	1,2,3,4,6,9,10,11,12,13,14,	5,
0.2	3	1	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	3	2	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	3	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	3	4	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.2	3	5	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.3	1	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	
0.3	1	1	2	100	10	5	6,7,9,11,12,13,	2,3,4,5,8,10,14,
0.3	1	2	2	100	14	6	6,9,	0,1,2,3,4,5,7,8,10,11,12,13,14,
0.3	1	3	2	100	13	6	6,9,13,	1,2,3,4,5,7,8,10,11,12,14,
0.3	1	4	2	100	12	6	6,9,12,13,	1,2,3,4,5,7,8,10,11,14,
0.3	1	5	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.3	2	0	2	100	5	4	1,2,3,4,6,9,10,11,12,13,14,	5,
0.3	2	1	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.3	2	2	2	100	14	6	6,9,	1,2,3,4,5,7,10,11,12,13,14,
0.3	2	3	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.3	2	4	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.3	2	5	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.3	3	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	0,
0.3	3	1	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.3	3	2	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.3	3	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.3	3	4	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.3	3	5	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.4	1	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	
0.4	1	1	2	100	11	6	6,9,11,12,13,	1,2,3,4,5,7,8,10,14,
0.4	1	2	2	100	14	6	6,9,	1,2,3,5,7,8,10,11,12,13,14,
0.4	1	3	2	100	14	6	6,9,	1,2,3,4,5,7,8,10,11,12,13,14,
0.4	1	4	2	100	13	6	6,9,12,	1,2,3,4,5,7,8,10,11,13,14,
0.4	1	5	2	100	13	6	6,9,13,	1,2,3,5,7,8,10,11,12,14,
0.4	2	0	2	100	4	3	1,2,3,4,5,6,9,10,11,12,13,14,	0,
